Chord,Note
E-major triad,B4
E-major triad,B4
B-major triad,B4
A-quartal trichord,B4
E-major triad,B4
D-major triad,D5
A-major triad,C#5
A-quartal trichord,B4
A-major triad,A4
B-major triad,B4
E-major triad,G#4
E-major triad,E4
D#-perfect-fourth diminished tetrachord,F#4
C#-minor triad,G#4
F#-major triad,A#4
B-major triad,B4
C#-quartal tetramirror,C#5
B-major triad,B4
E-major triad,B4
C#-minor triad,E5
B-major triad,D#5
F#-major triad,C#5
B-major triad,D#5
E-major triad,E5
E-incomplete major-seventh chord,D#5
F#-major triad,C#5
B-major triad,B4
E-major triad,B4
E-major triad,E5
E-major triad,B4
A-major triad,C#5
C#-minor triad,G#4
F#-minor triad,A4
E#-diminished seventh chord,B4
F#-minor triad,A4
C#-major triad,G#4
E-major triad,G#4
B-major triad,F#4
A-major triad,A4
E-major triad,G#4
B-major triad,F#4
F#-major triad,C#4
B-major triad,D#4
E-major triad,E4
G-major triad,D5
C-major triad,E5
D-major triad,D5
D-dominant seventh chord,C5
E-minor triad,B4
C-major triad,C5
D-major triad,D5
A-minor triad,C5
E-perfect-fourth minor tetrachord,B4
C-quartal trichord,C5
G-major triad,B4
D-major triad,A4
G-major triad,B4
C-major triad,C5
G-major triad,D5
C-major triad,C5
C-major seventh chord,B4
G-quartal trichord,A4
G-major triad,G4
D-dominant seventh chord,A4
G-major triad,G4
G-major triad,G4
D-major triad,A4
B-perfect-fourth minor tetrachord,B4
C-major triad,C5
E-minor triad,B4
F#-incomplete minor-seventh chord,A4
G-major-second major tetrachord,B4
A-quartal tetramirror,A4
Major Third with octave doublings above G,G4
C-major triad,G4
A-minor seventh chord,A4
G-major triad,B4
C-major triad,C5
D-quartal tetramirror,D5
C-major triad,E5
E-minor triad,B4
A-incomplete dominant-seventh chord,C#5
D-major triad,D5
G-major triad,B4
A-quartal tetramirror,C5
G-major triad,D5
C-major triad,E5
D-major triad,D5
F#-diminished triad,C5
E-major triad,B4
A-major-second minor tetrachord,C5
E-major triad,B4
E-major triad,E5
A-minor triad,E5
A-minor triad,E5
D-minor triad,A4
D-major-second minor tetrachord,D5
C-augmented triad,C5
B-quartal tetramirror,B4
Minor Third with octave doublings above A,A4
A-minor triad,C5
G-major triad,B4
D-minor triad,A4
E-half-diminished seventh chord,G4
A-major triad,A4
A-dominant seventh chord,G4
D-major-second minor tetrachord,F4
E-quartal tetramirror,E4
Major Third with octave doublings above D,D4
B-minor triad,D4
E-minor triad,G4
G-quartal trichord,A4
G-major triad,B4
C-major triad,C5
B-minor triad,D5
C-quartal trichord,C5
G-major triad,B4
A-minor seventh chord,A4
A-lydian tetrachord,B4
A-incomplete minor-seventh chord,C5
G-quartal trichord,A4
G-major triad,G4
F-major triad,F4
F-major triad,A4
C-major triad,G4
F-dominant seventh chord,A4
Bb-major triad,B-4
C-major triad,C5
F-major triad,A4
Bb-major triad,D5
F-major triad,C5
G-minor seventh chord,B-4
F-major triad,A4
F-quartal trichord,G4
F-major triad,A4
F-major triad,C5
B-half-diminished seventh chord,D5
C-major triad,E5
D-major-second minor tetrachord,F5
A-minor triad,E5
D-minor seventh chord,D5
C-major triad,C5
F-major triad,A4
G-incomplete minor-seventh chord,B-4
F-major triad,A4
G-minor seventh chord,G4
C-major triad,G4
F-major triad,F4
A-major triad,A4
F#-minor triad,A4
C#-minor triad,G#4
D-major triad,F#4
E-dominant seventh chord,E4
A-major triad,A4
B-minor seventh chord,B4
A-major triad,C#5
F#-minor triad,C#5
C#-major triad,C#5
C#-dominant seventh chord,B4
C#-incomplete dominant-seventh chord,C#5
F#-minor triad,C#5
E-dominant seventh chord,B4
A-major triad,A4
B-minor seventh chord,B4
A-major triad,A4
A-major triad,A4
D-major triad,A4
G#-diminished triad,B4
A-major triad,C#5
E#-diminished triad,B4
C#-major triad,C#5
F#-minor triad,A4
G#-half-diminished seventh chord,G#4
F#-minor triad,F#4
B-dominant seventh chord,B4
E-major triad,B4
Perfect Fourth with octave doublings above E,A4
E-dominant seventh chord,G#4
A-major triad,A4
F#-minor seventh chord,F#4
E-major triad,E4
C#-minor triad,E4
F#-minor triad,A4
D-major triad,A4
E-major triad,B4
E-major triad,B4
A-major triad,C#5
A-quartal trichord,B4
A-dominant seventh chord,C#5
D-major triad,A4
A-major triad,A4
B-minor triad,D5
G-major triad,D5
C#-diminished triad,C#5
G-major triad,B4
C#-quartal tetramirror,C#5
Major Third with octave doublings above B,B4
E-major triad,B4
A-major triad,C#5
F#-minor triad,C#5
B-minor triad,D5
G-major triad,D5
C#-half-diminished seventh chord,E5
D-major triad,A4
A-major triad,C#5
B-major triad,B4
D#-diminished triad,A4
E-major triad,G#4
A-major triad,A4
E-quartal trichord,F#4
E-major triad,E4
C#-minor triad,E4
F#-minor triad,A4
E-major triad,G#4
B-major triad,F#4
C#-minor triad,E4
B-minor triad,B4
D-major seventh chord,C#5
E-major triad,B4
C#-major triad,C#5
D-major triad,D5
A-major triad,C#5
E-major triad,B4
F#-minor triad,A4
F#-major-second minor tetrachord,G#4
D-major triad,A4
B-minor seventh chord,B4
A-major triad,C#5
E-major triad,B4
A-major triad,A4
F-minor triad,C5
F-dominant seventh chord,C5
Bb-minor triad,B-4
F-minor triad,A-4
G-half-diminished seventh chord,G4
C-tritone quartal tetrachord,F4
Minor Third with octave doublings above F,F4
F-minor triad,F4
F-minor triad,A-4
G-diminished triad,B-4
Ab-major triad,C5
Ab-major triad,C5
Bb-minor seventh chord,B-4
Eb-tritone quartal tetrachord,A-4
Ab-major triad,A-4
Db-major triad,A-4
G-perfect-fourth diminished tetrachord,B-4
C-dominant seventh chord,B-4
Db-major triad,A-4
G-half-diminished seventh chord,G4
C-tritone quartal tetrachord,F4
F-minor triad,F4
F-major triad,C5
F-major triad,C5
Bb-minor triad,D-5
Bb-minor triad,D-5
Eb-major triad,B-4
Eb-major triad,B-4
Ab-major triad,C5
Ab-major triad,C5
Db-major triad,A-4
Db-major triad,A-4
Bb-minor triad,D-5
Bb-minor triad,D-5
C-half-diminished seventh chord,C5
F-major triad,C5
Bb-minor triad,B-4
C-dominant seventh chord,G4
F-minor triad,A-4
G-incomplete minor-seventh chord,B-4
F-minor triad,A-4
G-half-diminished seventh chord,G4
C-major triad,G4
F-minor triad,F4
F-minor triad,F5
F-minor triad,F5
C-minor triad,E-5
C-minor triad,E-5
C-quartal trichord,D5
G-major triad,D5
Major Third with octave doublings above C,C5
C-major triad,C5
F-major triad,C5
Db-augmented major tetrachord,C5
Bb-minor triad,D-5
Ab-major triad,C5
Ab-quartal trichord,B-4
Eb-tritone quartal tetrachord,A-4
Ab-major triad,A-4
Ab-major triad,A-4
Db-whole-tone trichord,E-4
Db-major triad,A-4
Bb-minor triad,D-5
Bb-minor triad,D-5
Eb-major triad,B-4
Eb-major triad,B-4
C-minor triad,E-5
C-minor triad,E-5
F-minor triad,C5
F-minor triad,C5
F-minor triad,F5
Bb-incomplete dominant-seventh chord,F5
C-major triad,E5
C-major triad,E5
F-major triad,F5
F-major triad,F5
G-major triad,G4
E-minor triad,G4
D-dominant seventh chord,A4
G-major triad,B4
A-dominant seventh chord,C#5
D-major triad,D5
D-quartal trichord,D5
A-incomplete dominant-seventh chord,C#5
D-major triad,D5
B-major triad,B4
C-major triad,C5
G-major triad,B4
D-dominant seventh chord,A4
G-major-second major tetrachord,B4
G-quartal trichord,A4
G-major triad,G4
D-major triad,A4
D-major triad,A4
B-incomplete minor-seventh chord,B4
A-minor triad,C5
D#-diminished seventh chord,C5
A-quartal trichord,B4
A-quartal trichord,A4
E-major triad,B4
A-minor triad,A4
E-minor triad,B4
E-minor triad,B4
E-dominant seventh chord,B4
A-minor triad,C5
D-dominant seventh chord,D5
A#-diminished seventh chord,E5
E-quartal trichord,E5
B-incomplete dominant-seventh chord,D#5
E-minor triad,E5
D-major triad,F#5
G-major triad,G5
Major Third with octave doublings above G,B4
C-major seventh chord,C5
G-whole-tone trichord,B4
A-dominant seventh chord,A4
D-major triad,A4
G-major triad,D5
C-whole-tone trichord,E5
D-incomplete dominant-seventh chord,D5
C-major seventh chord,C5
G-major triad,B4
C-quartal trichord,C5
A-minor seventh chord,A4
G-major triad,G4
E-dominant seventh chord,B4
A-minor triad,E4
G#-diminished triad,B4
A-minor triad,C5
G-major triad,B4
B-minor seventh chord,A4
C-major triad,G4
F#-diminished triad,A4
E-major triad,B4
E-major triad,B4
A-minor triad,C5
G-dominant seventh chord,D5
C-major triad,C5
C-major seventh chord,B4
F-major triad,A4
C-major triad,G4
D-minor triad,F4
E-major triad,E4
A-minor triad,A4
G-major triad,G4
A-minor triad,C5
G-major triad,B4
D-minor triad,A4
B-diminished triad,D5
D-minor seventh chord,C5
E-major triad,B4
A-minor triad,A4
A-minor triad,C5
E-minor triad,B4
C-major-second major tetrachord,C5
G-major triad,D5
C-major triad,G4
B-minor triad,B4
A-quartal tetramirror,A4
Major Third with octave doublings above G,G4
C-major triad,G4
A-minor triad,C5
E-major triad,B4
F-major triad,A4
C-major triad,E4
G-minor triad,G4
D-minor triad,F4
E-dominant seventh chord,E4
C-major triad,G5
F-major-ninth chord,A5
C-major triad,G5
C-major pentachord,F5
C-major triad,G5
C-major triad,G4
C-major triad,G4
C-major triad,C5
C-major triad,C5
C-major triad,E5
C-major triad,E5
C-major triad,G5
F-major triad,A5
C-major triad,G5
D-incomplete minor-seventh chord,F5
C-major triad,G5
C-major triad,G5
F-major-ninth chord,A5
C-major triad,G5
C-major pentachord,F5
C-major triad,G5
C-major triad,G4
C-major triad,G4
C-major triad,C5
C-major triad,C5
C-major triad,E5
C-major triad,E5
C-major triad,G5
F-major triad,A5
C-major triad,G5
D-incomplete minor-seventh chord,F5
C-major triad,G5
C-major triad,G5
F-major-ninth chord,A5
C-major triad,G5
C-major pentachord,F5
C-major triad,G5
C-major triad,G4
C-major triad,G4
C-major triad,C5
C-major triad,C5
C-major triad,E5
C-major triad,E5
C-major triad,G5
F-major triad,A5
C-major triad,G5
D-incomplete minor-seventh chord,F5
C-major triad,G5
A-minor triad,A4
A-minor triad,A4
D-major triad,A4
G-major triad,B4
G-dominant seventh chord,B4
C-major triad,C5
C-major seventh chord,B4
F-major triad,A4
C-major triad,G4
C-major triad,C5
E-dominant seventh chord,D5
A-minor triad,C5
G-major triad,B4
C-major triad,C5
C-major triad,C5
A-minor triad,C5
D-incomplete dominant-seventh chord,C5
G-major triad,B4
A-dominant seventh chord,A4
G-quartal trichord,A4
B-major triad,B4
E-major triad,G#4
A-minor triad,A4
D-minor triad,A4
G-dominant seventh chord,G4
D-major triad,A4
G-major triad,B4
G#-diminished seventh chord,B4
A-minor triad,C5
E-minor seventh chord,B4
F-major-second major tetrachord,A4
E-major triad,G#4
A-major triad,A4
A-minor triad,C5
C-major triad,G4
F-major triad,A4
B-half-diminished seventh chord,B4
C-major triad,C5
G-incomplete dominant-seventh chord,D5
C-major triad,E5
G-major triad,D5
A-incomplete minor-seventh chord,C5
G-major triad,B4
C-major triad,C5
C-major triad,E5
G-major triad,D5
A-major-second minor tetrachord,C5
E-minor triad,B4
Perfect Fourth with octave doublings above E,A4
E-minor triad,G4
A-minor triad,A4
G#-diminished triad,B4
A-minor triad,C5
G#-diminished seventh chord,D5
A-minor triad,C5
A-quartal trichord,B4
D-minor seventh chord,C5
E-major triad,B4
A-minor triad,A4
A-minor triad,E5
D-minor seventh chord,F5
A-minor triad,E5
B-half-diminished seventh chord,D5
E-major triad,E5
E-dominant seventh chord,D5
A-minor triad,C5
D-minor triad,D5
E-quartal tetramirror,E5
D-minor triad,A4
E-major triad,E5
F-major triad,F5
A-minor triad,E5
B-incomplete minor-seventh chord,D5
C-major triad,E5
C-quartal trichord,D5
C-major triad,C5
D-dominant seventh chord,D5
E-major triad,E5
A-minor triad,A4
C-major triad,C5
G-major triad,B4
A-major triad,A4
E-minor triad,G4
F-augmented triad,A4
D-minor triad,F4
F-augmented major tetrachord,E4
D-major-second minor tetrachord,F4
A-major triad,E4
F-major triad,A4
G-dominant seventh chord,G4
C-major triad,C5
G-major triad,B4
C-major triad,C5
C-major triad,G4
D-dominant seventh chord,A4
G#-major-third diminished tetrachord,B4
A-minor triad,C5
B-incomplete minor-seventh chord,D5
A-minor triad,E5
D-minor triad,D5
F-major triad,C5
B-half-diminished seventh chord,B4
E-major triad,B4
A-major triad,A4
D-major triad,D5
B-minor triad,D5
F#-minor triad,C#5
G-major triad,B4
A-incomplete dominant-seventh chord,A4
B-minor triad,D5
A-major triad,E5
D-major triad,F#5
A-major triad,E5
F#-minor triad,F#5
F#-all-interval tetrachord,G5
F#-minor triad,A5
G-major triad,G5
D-major triad,F#5
A-major triad,E5
F#-minor triad,F#5
G-major triad,G5
B-minor seventh chord,F#5
D-quartal trichord,E5
D-major triad,D5
D-major triad,D5
A-major triad,E5
D-major triad,F#5
G-major triad,D5
D-major triad,D5
E-major triad,E5
F#-major triad,F#5
B-minor triad,D5
B-minor triad,B4
E-major triad,E5
E-incomplete dominant-seventh chord,D5
A-major triad,C#5
D-major triad,D5
A-major triad,C#5
B-minor seventh chord,B4
A-major triad,A4
F#-minor triad,A4
B-minor triad,D5
A-major triad,C#5
E-minor triad,B4
A-dominant seventh chord,A4
D-major triad,D5
A-major triad,E5
D-major triad,F#5
A-major triad,E5
F#-minor triad,A5
C#-half-diminished seventh chord,G5
D-major triad,F#5
A-major triad,E5
F#-minor triad,F#5
G-major triad,G5
B-minor seventh chord,F#5
D-quartal trichord,E5
D-major triad,D5
D-minor triad,A4
G#-diminished seventh chord,G#4
A-minor triad,A4
G#-diminished triad,B4
A-minor triad,C5
B-half-diminished seventh chord,D5
A-major-second minor tetrachord,C5
B-half-diminished seventh chord,B4
A-major triad,A4
A-major triad,A4
D-major-second minor tetrachord,F4
C#-diminished seventh chord,G4
A-major triad,A4
E-quartal tetramirror,G4
D-minor triad,F4
A-major triad,E4
D-minor triad,D4
E-quartal tetramirror,E4
D-minor triad,D4
D-minor triad,D4
E-quartal tetramirror,E4
D-minor triad,F4
G-minor triad,G4
G-minor triad,D4
C-dominant seventh chord,E4
D-minor triad,F4
G-minor seventh chord,G4
F-major triad,A4
F-major triad,A4
D-minor triad,D5
C#-diminished seventh chord,C#5
D-major triad,D5
E-major triad,E5
E-dominant seventh chord,D5
A-major-second minor tetrachord,C5
B-half-diminished seventh chord,B4
A-minor triad,A4
B-diminished triad,B4
F-quartal trichord,C5
F-major triad,A4
G-quartal tetramirror,B-4
F-major triad,C5
C-major triad,G4
F-augmented major tetrachord,F4
E-half-diminished seventh chord,E4
Bb-major triad,D4
D-major triad,A4
G-minor triad,G4
F-augmented triad,F4
E-quartal tetramirror,E4
G-quartal trichord,D4
F#-major triad,C#5
B-minor triad,D5
F#-minor triad,C#5
E-minor triad,B4
F#-minor triad,C#5
D-major triad,D5
E-minor triad,E5
Major Third with octave doublings above D,F#5
A#-diminished triad,E5
B-minor triad,D5
F#-major triad,C#5
F#-dominant seventh chord,E5
B-minor triad,D5
C#-diminished triad,C#5
D-major triad,D5
G-major triad,B4
A-major triad,A4
D-major triad,F#4
E-minor seventh chord,G4
D#-diminished seventh chord,A4
E-minor triad,G4
F#-major triad,F#4
F#-minor triad,A4
G-major triad,G4
D-major triad,F#4
A-major triad,E4
F#-major triad,F#4
B-minor triad,D4
E-minor triad,E4
F#-major triad,F#4
F#-major triad,C#5
B-minor triad,D5
A#-diminished triad,C#5
B-minor triad,B4
A#-diminished triad,C#5
Minor Third with octave doublings above B,D5
A#-diminished triad,E5
B-minor triad,D5
F#-major triad,C#5
B-dominant seventh chord,F#5
E-major triad,E5
E-dominant seventh chord,D5
F#-minor triad,C#5
D-major triad,D5
E-major triad,E5
E-major triad,B4
A-major triad,A4
A-dominant seventh chord,G4
D-major triad,F#4
A-major triad,E4
F#-minor triad,A4
E-major triad,B4
A#-diminished triad,C#5
B-minor triad,D5
A#-diminished seventh chord,E5
B-major-second minor tetrachord,D5
A-major triad,C#5
E-major triad,B4
D-major triad,D5
A-major triad,C#5
G-major triad,B4
D-major triad,A4
E-incomplete minor-seventh chord,G4
D-major triad,F#4
G-quartal trichord,G4
A-minor triad,A4
E-minor triad,G4
F#-dominant seventh chord,F#4
B-minor triad,F#4
F#-minor triad,F#4
F#-minor triad,F#4
B-major triad,F#4
C#-minor seventh chord,C#5
B-major triad,D#5
E-major triad,E5
E-major seventh chord,D#5
F#-major triad,C#5
B-major triad,B4
F#-major triad,C#5
B-major triad,D#5
E#-diminished triad,E#5
F#-minor triad,F#5
F#-minor triad,C#5
C#-minor triad,E5
D#-half-diminished seventh chord,D#5
C#-major triad,C#5
F#-minor triad,C#5
E-major triad,E5
E-dominant seventh chord,D5
A-major triad,C#5
B-major triad,B4
B-dominant seventh chord,A4
E-major triad,G#4
A-major triad,A4
F#-minor seventh chord,F#4
E-major triad,E4
C#-minor triad,E4
F#-minor triad,A4
E-dominant seventh chord,B4
A-major triad,C#5
C#-dominant seventh chord,B4
F#-minor triad,A4
C#-minor triad,E5
A-major triad,C#5
G#-diminished triad,B4
F#-minor triad,A4
G#-quartal tetramirror,G#4
F#-major triad,F#4
G-major triad,G4
C-major triad,G4
F#-diminished triad,A4
G-major triad,B4
F#-diminished triad,C5
Minor Third with octave doublings above B,D5
E-minor seventh chord,E5
Major Third with octave doublings above D,D5
A-minor triad,E5
D-dominant seventh chord,F#5
E-minor triad,G5
D-major triad,D5
G-major triad,B4
A-major triad,C#5
D-major triad,D5
C-major triad,C5
D-major triad,A4
G-major triad,B4
C-major triad,C5
G-major triad,B4
D-major triad,A4
Major Third with octave doublings above G,G4
D-major triad,F#4
C#-diminished triad,G4
D-major triad,A4
G-major triad,B4
A-major triad,A4
A-incomplete dominant-seventh chord,G4
D-major-second major tetrachord,F#4
E-quartal tetramirror,E4
D-major triad,D4
G-major triad,G4
C-major triad,G4
F#-diminished triad,A4
G-major triad,B4
C-major triad,C5
D-incomplete minor-seventh chord,D5
Major Third with octave doublings above C,E5
G-major triad,D5
E-minor triad,G4
D-major triad,A4
G-major triad,B4
C-major triad,C5
G-major triad,B4
G-quartal trichord,A4
G-major triad,G4
G-minor triad,G4
G-minor triad,G4
Eb-incomplete major-seventh chord,G4
D-major triad,F#4
G-minor triad,B-4
A-diminished triad,A4
C#-diminished seventh chord,G4
D-major triad,F#4
D-major triad,F#4
F#-diminished seventh chord,F#4
D-major triad,F#4
C-quartal trichord,G4
C-major triad,E4
F#-diminished triad,F#4
D-incomplete dominant-seventh chord,F#4
G-minor triad,G4
F-major triad,A4
F-major triad,A4
F-quartal trichord,C5
F-major triad,A4
Eb-quartal trichord,F4
Eb-major triad,G4
F-major triad,A4
G-minor triad,B-4
G-minor triad,B-4
G-quartal trichord,A4
Eb-incomplete major-seventh chord,G4
D-major triad,F#4
D-major triad,F#4
F#-diminished triad,F#4
F#-diminished seventh chord,F#4
G-minor triad,G4
C-major triad,E4
D-major triad,F#4
D-major triad,F#4
C-quartal trichord,G4
D-major triad,D5
B-minor triad,D5
B-incomplete minor-seventh chord,D5
D-major triad,A4
B-minor triad,B4
C#-diminished triad,C#5
D-major triad,D5
D-major seventh chord,C#5
E-major-second major tetrachord,B4
A-major triad,A4
B-minor triad,D5
A#-diminished triad,C#5
Major Sixth with octave doublings above D,B4
F#-minor triad,A4
G-major triad,B4
C#-diminished triad,G4
D-major triad,F#4
D-quartal trichord,E4
Major Third with octave doublings above D,D4
Major Third with octave doublings above D,D4
F#-minor triad,A4
E-dominant seventh chord,B4
A-major triad,A4
E-major triad,G#4
A-major triad,A4
D-major triad,D4
D-major-second major tetrachord,A4
G-major triad,B4
A-major triad,C#5
D-major triad,D5
F#-minor triad,C#5
B-minor triad,D5
A-major triad,C#5
B-minor seventh chord,B4
A-major triad,A4
E-minor triad,B4
G-major triad,B4
D#-diminished triad,A4
B-major triad,B4
B-dominant seventh chord,A4
E-minor triad,G4
B-major triad,F#4
B-minor triad,D5
F#-minor triad,C#5
G-major triad,B4
D-major triad,A4
G-major triad,B4
B-minor seventh chord,A4
C#-diminished triad,G4
Major Third with octave doublings above D,F#4
E-minor seventh chord,E4
D-major triad,D4
E-dominant seventh chord,E4
A-minor triad,A4
C#-diminished seventh chord,G4
D-minor triad,F4
C#-diminished triad,E4
D-minor triad,D4
A-major triad,E4
E-minor triad,B4
D#-diminished seventh chord,C5
A-minor triad,C5
B-dominant seventh chord,B4
E-major triad,B4
Minor Third with octave doublings above A,A4
A-minor triad,C5
G-major triad,B4
G-dominant seventh chord,G4
A-minor triad,A4
B-diminished triad,B4
C-major triad,C5
C-major triad,C5
C-major triad,G4
F-major triad,A4
C#-diminished seventh chord,G4
A-major triad,A4
D-minor triad,F4
A-major triad,E4
D-dominant seventh chord,C5
G-major triad,B4
A-quartal tetramirror,C5
G-major triad,D5
A-incomplete minor-seventh chord,C5
G-major triad,B4
A-minor seventh chord,A4
G-major triad,B4
C-major triad,E4
D-minor triad,F4
C-major triad,E4
D-dominant seventh chord,D4
Major Third with octave doublings above G,G4
E-dominant seventh chord,E4
F-major triad,A4
C-major triad,G4
D-minor triad,F4
C-major triad,G4
F-major triad,A4
G-quartal tetramirror,B-4
F-major triad,C5
G-quartal tetramirror,B-4
Major Third with octave doublings above F,A4
C-major triad,C5
F-major triad,A4
Bb-major triad,B-4
F-major triad,A4
C-perfect-fourth major tetrachord,G4
Bb-major triad,F4
E-half-diminished seventh chord,G4
F-major triad,A4
F-quartal trichord,G4
F-major triad,F4
F-major triad,C5
E-minor seventh chord,D5
C#-diminished triad,E5
Minor Third with octave doublings above D,F5
D-minor triad,F5
A-minor triad,E5
B-incomplete minor-seventh chord,D5
A-minor triad,C5
C-major-second major tetrachord,D5
D-minor seventh chord,D5
Major Third with octave doublings above C,C5
F-major triad,C5
Bb-major triad,D5
E-diminished triad,E5
F-major triad,F5
F-major triad,F5
C-major triad,E5
G-incomplete dominant-seventh chord,D5
C-major triad,C5
D-minor seventh chord,D5
C-quartal trichord,D5
Major Third with octave doublings above C,C5
C-major triad,G4
F-perfect-fourth major tetrachord,A4
E-diminished triad,B-4
G-incomplete minor-seventh chord,B-4
F-major triad,A4
F-major triad,C5
G-minor triad,B-4
Bb-major seventh chord,A4
C-major triad,G4
C-major triad,G4
A-minor triad,C5
D-minor seventh chord,A4
G-incomplete minor-seventh chord,B-4
F-major triad,A4
A-minor seventh chord,G4
Bb-major triad,F4
E-half-diminished seventh chord,G4
F-major triad,A4
F-quartal trichord,G4
F-major triad,F4
A-minor triad,A4
A-minor triad,A4
E-major triad,B4
A-minor triad,C5
D-major triad,D5
G-major triad,B4
F#-minor-second diminished tetrachord,C5
G-major triad,D5
E-major triad,E5
A-minor triad,C5
F-major triad,A4
B-half-diminished seventh chord,B4
E-major triad,B4
A-minor triad,A4
A-minor triad,E5
B-incomplete minor-seventh chord,D5
A-minor triad,C5
B-half-diminished seventh chord,B4
F-incomplete major-seventh chord,A4
E-major triad,B4
E-major triad,B4
A-minor triad,C5
G-major triad,D5
C-major triad,E5
A-minor triad,C5
D-major triad,D5
D-incomplete dominant-seventh chord,C5
G-major triad,B4
G-dominant seventh chord,B4
C-major triad,C5
D-minor triad,D5
Major Third with octave doublings above C,E5
A-major-second minor tetrachord,C5
B-incomplete minor-seventh chord,D5
A-perfect-fourth minor tetrachord,C5
G-major triad,B4
E-major triad,E5
A-minor triad,C5
E-minor triad,B4
F-major triad,A4
B-half-diminished seventh chord,B4
E-major triad,B4
A-major triad,A4
D-major triad,D4
D-major triad,A4
D-major triad,A4
G-major triad,B4
C#-diminished triad,C#5
G-major triad,D5
D-major triad,D5
D-major triad,F#5
A#-diminished seventh chord,E5
B-minor triad,D5
G#-diminished seventh chord,D5
A-major triad,C#5
D-major triad,D5
D-major triad,D5
E-quartal tetramirror,E5
D-major triad,F#5
B-minor triad,F#5
E-major triad,E5
G#-diminished triad,D5
A-major triad,C#5
G#-minor tetramirror,B4
F#-quartal trichord,C#5
F#-minor triad,A4
F#-minor triad,C#5
B-incomplete minor-seventh chord,D5
A-major triad,C#5
A-quartal trichord,B4
E-minor triad,B4
A-major triad,A4
A-major triad,A4
D-major triad,F#4
E-quartal tetramirror,G4
D-major triad,A4
G-major triad,B4
D-major triad,A4
B-dominant seventh chord,A4
E-minor triad,G4
E-quartal trichord,F#4
B-major triad,F#4
D-dominant seventh chord,A4
G-major triad,G4
B-minor triad,F#4
E-minor seventh chord,E4
A-major triad,E4
D-major triad,D4
F#-minor triad,F#4
F#-minor triad,F#4
G#-minor triad,G#4
F#-minor triad,A4
B-minor triad,B4
